car_id,car_type,color,year,km,average_price,transmission,body_type,days,price,sold
3578,Nissan_Tiida_2015,Black,2015,32198041,689138,Automatic,Sedan,18,706038,True
6296,Nissan_Tiida_2015,Red,2015,35509083,689138,Automatic,Sedan,30,774222,True
11313,Nissan_Tiida_2015,Black,2015,30747229,689138,Automatic,Sedan,7,777843,False
11858,Nissan_Tiida_2015,Black,2015,35817453,689138,Automatic,Sedan,47,737247,True
13643,Nissan_Tiida_2015,Red,2015,30441277,689138,Automatic,Sedan,6,811825,True
13723,Nissan_Tiida_2015,Red,2015,28981728,689138,Automatic,Sedan,18,774339,False
14002,Nissan_Tiida_2015,Red,2015,34286222,689138,Automatic,Sedan,12,762466,True
14030,Nissan_Tiida_2015,White,2015,30289389,689138,Automatic,Sedan,21,766530,False
14631,Nissan_Tiida_2015,Blue,2015,29352621,689138,Automatic,Sedan,45,740261,False
14675,Nissan_Tiida_2015,Black,2015,33586504,689138,Automatic,Sedan,13,713255,True
14776,Nissan_Tiida_2015,White,2015,30939800,689138,Automatic,Sedan,9,804718,True
15157,Nissan_Tiida_2015,White,2015,29889539,689138,Automatic,Sedan,42,761808,True
19071,Nissan_Tiida_2015,Black,2015,32315640,689138,Automatic,Sedan,9,717498,True
19852,Nissan_Tiida_2015,White,2015,29309734,689138,Automatic,Sedan,41,774892,True
4,Mitsubishi_Outlander_2009,Black,2009,42857477,992179,Automatic,Sedan,35,1123812,False
1545,Mitsubishi_Outlander_2009,White,2009,39716075,992179,Automatic,Sedan,15,1063230,True
2251,Mitsubishi_Outlander_2009,Black,2009,48158403,992179,Automatic,Sedan,17,1030281,True
2295,Mitsubishi_Outlander_2009,Black,2009,43019137,992179,Automatic,Sedan,31,1105871,False
3938,Mitsubishi_Outlander_2009,White,2009,45407373,992179,Automatic,Sedan,35,1050911,True
6364,Mitsubishi_Outlander_2009,Black,2009,40738315,992179,Automatic,Sedan,95,1099236,False
10486,Mitsubishi_Outlander_2009,White,2009,39804054,992179,Automatic,Sedan,19,1157642,False
11137,Mitsubishi_Outlander_2009,Black,2009,46167956,992179,Automatic,Sedan,22,1143329,True
14410,Mitsubishi_Outlander_2009,Orange,2009,45773884,992179,Automatic,Sedan,25,1027502,True
14611,Mitsubishi_Outlander_2009,Black,2009,45528080,992179,Automatic,Sedan,131,1050469,True
14935,Mitsubishi_Outlander_2009,Black,2009,48102389,992179,Automatic,Sedan,12,1092419,False
347,Mazda_Mazda 2_2021,Red,2021,28408065,421320,Automatic,Sedan,21,465120,True
1210,Mazda_Mazda 2_2021,Black,2021,21890952,421320,Automatic,Sedan,32,440883,True
3803,Mazda_Mazda 2_2021,Red,2021,20778719,421320,Automatic,Sedan,32,435843,True
4004,Mazda_Mazda 2_2021,White,2021,23888478,421320,Automatic,Sedan,43,430320,True
5239,Mazda_Mazda 2_2021,Red,2021,27410221,421320,Automatic,Sedan,22,424967,False
6847,Mazda_Mazda 2_2021,Black,2021,26598829,421320,Automatic,Sedan,42,468385,True
8623,Mazda_Mazda 2_2021,White,2021,25658567,421320,Automatic,Sedan,9,478901,True
9356,Mazda_Mazda 2_2021,Black,2021,21454732,421320,Automatic,Sedan,35,440725,True
11023,Mazda_Mazda 2_2021,Blue,2021,20504761,421320,Automatic,Sedan,32,453575,False
11051,Mazda_Mazda 2_2021,Blue,2021,21151223,421320,Automatic,Sedan,12,470296,True
12973,Mazda_Mazda 2_2021,Blue,2021,24814306,421320,Automatic,Sedan,37,431160,True
13507,Mazda_Mazda 2_2021,Black,2021,28348620,421320,Automatic,Sedan,44,442016,True
13803,Mazda_Mazda 2_2021,Black,2021,26028431,421320,Automatic,Sedan,4,460693,True
14053,Mazda_Mazda 2_2021,Red,2021,19287119,421320,Automatic,Sedan,24,478725,True
15547,Mazda_Mazda 2_2021,Black,2021,27013703,421320,Automatic,Sedan,19,479670,True
16454,Mazda_Mazda 2_2021,Red,2021,23131137,421320,Automatic,Sedan,30,434301,True
17344,Mazda_Mazda 2_2021,Red,2021,25520322,421320,Automatic,Sedan,18,442503,True
18729,Mazda_Mazda 2_2021,Black,2021,27166438,421320,Automatic,Sedan,19,464059,False
19149,Mazda_Mazda 2_2021,Black,2021,27144346,421320,Automatic,Sedan,1,470595,False
6,Lincoln_MKX_2010,Red,2010,4919877,722375,Automatic,Sedan,13,794499,True
1592,Lincoln_MKX_2010,White,2010,8416095,722375,Automatic,Sedan,31,777079,True
1760,Lincoln_MKX_2010,Black,2010,7877219,722375,Automatic,Sedan,19,815209,True
7800,Lincoln_MKX_2010,Blue,2010,6175045,722375,Automatic,Sedan,27,744501,True
8374,Lincoln_MKX_2010,White,2010,8300723,722375,Automatic,Sedan,24,732578,True
11265,Lincoln_MKX_2010,Black,2010,4727510,722375,Automatic,Sedan,11,788605,True
13118,Lincoln_MKX_2010,Red,2010,9974113,722375,Automatic,Sedan,15,782330,False
16300,Lincoln_MKX_2010,Blue,2010,7888963,722375,Automatic,Sedan,19,787196,True
16363,Lincoln_MKX_2010,Blue,2010,9258242,722375,Automatic,Sedan,16,734922,True
17183,Lincoln_MKX_2010,Black,2010,5695224,722375,Automatic,Sedan,22,824865,True
418,Mazda_MX-5_2016,Black,2016,38247461,823493,Automatic,Sedan,8,915812,True
4202,Mazda_MX-5_2016,White,2016,41800338,823493,Automatic,Sedan,32,903940,False
4323,Mazda_MX-5_2016,White,2016,40449629,823493,Automatic,Sedan,14,925057,True
4825,Mazda_MX-5_2016,Blue,2016,41327480,823493,Automatic,Sedan,17,841332,False
8598,Mazda_MX-5_2016,Black,2016,40474385,823493,Automatic,Sedan,72,926513,False
9199,Mazda_MX-5_2016,Black,2016,44706936,823493,Automatic,Sedan,61,938769,False
14862,Mazda_MX-5_2016,Black,2016,36286222,823493,Automatic,Sedan,21,836731,False
15072,Mazda_MX-5_2016,Black,2016,39497881,823493,Automatic,Sedan,2,843844,True
15999,Mazda_MX-5_2016,White,2016,45540857,823493,Automatic,Sedan,62,857067,False
19425,Mazda_MX-5_2016,Blue,2016,44553432,823493,Automatic,Sedan,2,893137,False
8,BMW_X6_2019,Blue,2019,27968216,629417,Automatic,Truck,38,667453,True
1134,BMW_X6_2019,White,2019,27269534,629417,Automatic,Truck,19,706767,True
2635,BMW_X6_2019,Red,2019,20243181,629417,Automatic,Truck,13,645613,False
4926,BMW_X6_2019,Black,2019,26501852,629417,Automatic,Truck,23,704983,True
6012,BMW_X6_2019,Black,2019,21538188,629417,Automatic,Truck,20,662898,False
6262,BMW_X6_2019,Red,2019,20666277,629417,Automatic,Truck,37,725210,True
6481,BMW_X6_2019,White,2019,27082375,629417,Automatic,Truck,10,690254,True
10618,BMW_X6_2019,Black,2019,25426654,629417,Automatic,Truck,32,681829,True
11388,BMW_X6_2019,White,2019,20095600,629417,Automatic,Truck,18,691842,True
11607,BMW_X6_2019,Red,2019,23375722,629417,Automatic,Truck,11,661770,True
13540,BMW_X6_2019,Blue,2019,28825951,629417,Automatic,Truck,8,672314,True
15917,BMW_X6_2019,Red,2019,27322538,629417,Automatic,Truck,40,676456,True
16039,BMW_X6_2019,Blue,2019,21816421,629417,Automatic,Truck,1,685786,False
1126,Dodge_Caliber_2010,Red,2010,38164637,522541,Automatic,Coupe,3,595966,True
1852,Dodge_Caliber_2010,Red,2010,39189434,522541,Automatic,Coupe,46,581989,True
1858,Dodge_Caliber_2010,White,2010,36268735,522541,Automatic,Coupe,39,545884,False
2171,Dodge_Caliber_2010,Black,2010,38173838,522541,Automatic,Coupe,1,529421,False
3136,Dodge_Caliber_2010,Black,2010,42689542,522541,Automatic,Coupe,20,594099,True
3272,Dodge_Caliber_2010,Red,2010,39342747,522541,Automatic,Coupe,15,613533,True
5369,Dodge_Caliber_2010,Red,2010,37872545,522541,Automatic,Coupe,26,561949,True
7705,Dodge_Caliber_2010,Red,2010,40700135,522541,Automatic,Coupe,16,602856,False
9752,Dodge_Caliber_2010,White,2010,40550553,522541,Automatic,Coupe,47,556932,True
12911,Dodge_Caliber_2010,White,2010,38678733,522541,Automatic,Coupe,62,551877,True
17980,Dodge_Caliber_2010,Blue,2010,39088253,522541,Automatic,Coupe,25,550963,True
18295,Dodge_Caliber_2010,White,2010,43158397,522541,Automatic,Coupe,4,603878,False
18806,Dodge_Caliber_2010,Black,2010,35179913,522541,Automatic,Coupe,41,527985,True
508,GMC_Terrain_2015,Black,2015,24424292,281396,Automatic,Sedan,7,302883,True
915,GMC_Terrain_2015,White,2015,22629915,281396,Automatic,Sedan,2,326906,True
1299,GMC_Terrain_2015,Black,2015,23259076,281396,Automatic,Sedan,9,291472,True
1412,GMC_Terrain_2015,Black,2015,24486265,281396,Automatic,Sedan,6,324847,False
2058,GMC_Terrain_2015,Blue,2015,22377575,281396,Automatic,Sedan,2,306415,True
2174,GMC_Terrain_2015,Red,2015,29215567,281396,Automatic,Sedan,15,330176,True
3855,GMC_Terrain_2015,Blue,2015,26308100,281396,Automatic,Sedan,21,307922,True
6188,GMC_Terrain_2015,Black,2015,26188521,281396,Automatic,Sedan,6,329816,True
7198,GMC_Terrain_2015,White,2015,25659663,281396,Automatic,Sedan,9,293559,True
7320,GMC_Terrain_2015,White,2015,25668042,281396,Automatic,Sedan,45,292687,True
11073,GMC_Terrain_2015,Black,2015,26777638,281396,Automatic,Sedan,21,298457,False
11161,GMC_Terrain_2015,Black,2015,26111395,281396,Automatic,Sedan,2,294312,True
11565,GMC_Terrain_2015,Blue,2015,24937157,281396,Automatic,Sedan,16,327303,False
16485,GMC_Terrain_2015,Black,2015,29580312,281396,Automatic,Sedan,23,295203,True
16885,GMC_Terrain_2015,Red,2015,28796755,281396,Automatic,Sedan,2,307535,True
18186,GMC_Terrain_2015,Black,2015,24349969,281396,Automatic,Sedan,38,322312,True
18317,GMC_Terrain_2015,Blue,2015,24395981,281396,Automatic,Sedan,11,313745,True
18922,GMC_Terrain_2015,Red,2015,27356317,281396,Automatic,Sedan,16,327323,True
11,Acura_TLX_2017,Orange,2017,22473279,914912,Automatic,SUV,12,938505,True
1002,Acura_TLX_2017,Black,2017,21385787,914912,Automatic,SUV,14,957870,True
2285,Acura_TLX_2017,Red,2017,19737910,914912,Automatic,SUV,17,938178,True
2608,Acura_TLX_2017,Blue,2017,16385465,914912,Automatic,SUV,10,1065789,False
3482,Acura_TLX_2017,Black,2017,22072106,914912,Automatic,SUV,31,957621,True
4931,Acura_TLX_2017,White,2017,16068163,914912,Automatic,SUV,20,1052008,True
6306,Acura_TLX_2017,Red,2017,21077345,914912,Automatic,SUV,41,1062399,True
7504,Acura_TLX_2017,Red,2017,18597172,914912,Automatic,SUV,15,1062991,False
11802,Acura_TLX_2017,White,2017,19577338,914912,Automatic,SUV,6,961341,False
12632,Acura_TLX_2017,White,2017,15859902,914912,Automatic,SUV,2,1065597,True
12827,Acura_TLX_2017,Blue,2017,18347248,914912,Automatic,SUV,20,940824,True
13033,Acura_TLX_2017,Red,2017,17130704,914912,Automatic,SUV,31,932246,True
14222,Acura_TLX_2017,Black,2017,22175272,914912,Automatic,SUV,10,993552,True
16474,Acura_TLX_2017,Black,2017,19577920,914912,Automatic,SUV,11,1070204,True
12,BMW_Serie 5_2014,Blue,2014,32025699,638187,Automatic,Sedan,10,751702,True
125,BMW_Serie 5_2014,Blue,2014,33585070,638187,Automatic,Sedan,46,722286,True
1953,BMW_Serie 5_2014,Black,2014,32832670,638187,Automatic,Sedan,23,694196,True
7831,BMW_Serie 5_2014,Blue,2014,33570757,638187,Automatic,Sedan,1,742801,True
9797,BMW_Serie 5_2014,Red,2014,32075504,638187,Automatic,Sedan,38,664153,True
10544,BMW_Serie 5_2014,Black,2014,38353538,638187,Automatic,Sedan,41,644008,True
17088,BMW_Serie 5_2014,Black,2014,32166434,638187,Automatic,Sedan,51,701144,True
19429,BMW_Serie 5_2014,Black,2014,31353866,638187,Automatic,Sedan,2,695281,True
2775,Buick_Envision_2016,Blue,2016,30564450,636625,Automatic,Sedan,16,657560,True
4198,Buick_Envision_2016,Black,2016,29387903,636625,Automatic,Sedan,19,688620,True
7486,Buick_Envision_2016,Black,2016,24536185,636625,Automatic,Sedan,7,668266,False
8660,Buick_Envision_2016,Red,2016,23062964,636625,Automatic,Sedan,3,724368,True
8798,Buick_Envision_2016,Black,2016,25085103,636625,Automatic,Sedan,24,650974,True
10260,Buick_Envision_2016,White,2016,29702645,636625,Automatic,Sedan,52,661139,True
11199,Buick_Envision_2016,Black,2016,25116597,636625,Automatic,Sedan,14,669924,True
14907,Buick_Envision_2016,Black,2016,23449216,636625,Automatic,Sedan,21,734096,True
15024,Buick_Envision_2016,Red,2016,24059085,636625,Automatic,Sedan,9,667250,True
14,Audi_A4_2018,White,2018,29789949,476254,Automatic,SUV,11,527519,True
1188,Audi_A4_2018,Black,2018,31716832,476254,Automatic,SUV,13,516944,True
1617,Audi_A4_2018,Orange,2018,33079022,476254,Automatic,SUV,30,491694,True
2301,Audi_A4_2018,White,2018,33808729,476254,Automatic,SUV,73,500094,True
4581,Audi_A4_2018,Black,2018,34316965,476254,Automatic,SUV,20,531254,True
6259,Audi_A4_2018,Blue,2018,30547476,476254,Automatic,SUV,22,547770,True
6525,Audi_A4_2018,Blue,2018,36188093,476254,Automatic,SUV,6,487326,True
7301,Audi_A4_2018,Blue,2018,33902217,476254,Automatic,SUV,25,514041,True
7780,Audi_A4_2018,Red,2018,35957816,476254,Automatic,SUV,47,534112,True
10322,Audi_A4_2018,Black,2018,32577754,476254,Automatic,SUV,36,513143,False
12302,Audi_A4_2018,Black,2018,27494818,476254,Automatic,SUV,21,520215,True
12450,Audi_A4_2018,Black,2018,33333782,476254,Automatic,SUV,37,558042,False
12848,Audi_A4_2018,Red,2018,33767092,476254,Automatic,SUV,15,495310,True
13049,Audi_A4_2018,White,2018,31782100,476254,Automatic,SUV,35,535497,True
15037,Audi_A4_2018,Black,2018,36361742,476254,Automatic,SUV,50,488679,True
15810,Audi_A4_2018,Black,2018,28805017,476254,Automatic,SUV,38,535583,False
304,Audi_Q5 Quattro_2011,Red,2011,20335040,428540,Automatic,SUV,18,444131,True
2634,Audi_Q5 Quattro_2011,White,2011,17099487,428540,Automatic,SUV,3,444708,True
3394,Audi_Q5 Quattro_2011,Blue,2011,18153040,428540,Automatic,SUV,34,439477,False
3594,Audi_Q5 Quattro_2011,Red,2011,17133385,428540,Automatic,SUV,5,490303,True
6875,Audi_Q5 Quattro_2011,Blue,2011,19367265,428540,Automatic,SUV,33,479489,True
17436,Audi_Q5 Quattro_2011,White,2011,17294754,428540,Automatic,SUV,40,463306,True
18529,Audi_Q5 Quattro_2011,Red,2011,18741485,428540,Automatic,SUV,3,486922,False
19251,Audi_Q5 Quattro_2011,Orange,2011,26896267,428540,Automatic,SUV,41,461303,True
2198,Renault_Stepway_2019,Black,2019,34214693,260038,Automatic,Sedan,51,291127,True
2381,Renault_Stepway_2019,Blue,2019,31194475,260038,Automatic,Sedan,46,276127,True
3233,Renault_Stepway_2019,Red,2019,33725918,260038,Automatic,Sedan,75,298722,True
4772,Renault_Stepway_2019,Black,2019,39312633,260038,Automatic,Sedan,15,273213,True
4979,Renault_Stepway_2019,Black,2019,40924802,260038,Automatic,Sedan,35,275389,True
10952,Renault_Stepway_2019,Blue,2019,38762536,260038,Automatic,Sedan,50,261942,True
15817,Renault_Stepway_2019,Red,2019,36954878,260038,Automatic,Sedan,67,259370,True
17,Volvo_C30_2008,Orange,2008,32145409,640741,Automatic,SUV,38,730788,True
374,Volvo_C30_2008,Blue,2008,26040690,640741,Automatic,SUV,22,675276,True
462,Volvo_C30_2008,Blue,2008,32282690,640741,Automatic,SUV,6,742111,True
690,Volvo_C30_2008,Blue,2008,28326133,640741,Automatic,SUV,25,678403,False
709,Volvo_C30_2008,Blue,2008,30869675,640741,Automatic,SUV,9,754934,True
2816,Volvo_C30_2008,Blue,2008,27470258,640741,Automatic,SUV,56,724135,True
4893,Volvo_C30_2008,Red,2008,29442264,640741,Automatic,SUV,20,655623,True
13393,Volvo_C30_2008,Black,2008,24737256,640741,Automatic,SUV,17,684970,True
14407,Volvo_C30_2008,Black,2008,28477803,640741,Automatic,SUV,12,659931,True
15606,Volvo_C30_2008,Black,2008,32195119,640741,Automatic,SUV,6,671875,False
16058,Volvo_C30_2008,Blue,2008,30802789,640741,Automatic,SUV,38,707218,False
16603,Volvo_C30_2008,Black,2008,26020465,640741,Automatic,SUV,30,688595,True
775,Suzuki_Vitara_2018,Black,2018,26494467,237367,Automatic,Truck,4,246475,False
881,Suzuki_Vitara_2018,Black,2018,28123644,237367,Automatic,Truck,23,246614,True
1084,Suzuki_Vitara_2018,Blue,2018,23300240,237367,Automatic,Truck,22,277155,True
3571,Suzuki_Vitara_2018,White,2018,28470811,237367,Automatic,Truck,6,274235,True
3639,Suzuki_Vitara_2018,Blue,2018,19995585,237367,Automatic,Truck,12,275665,False
6673,Suzuki_Vitara_2018,White,2018,28221380,237367,Automatic,Truck,6,268526,True
7771,Suzuki_Vitara_2018,Red,2018,26424985,237367,Automatic,Truck,16,256898,True
10616,Suzuki_Vitara_2018,White,2018,28193394,237367,Automatic,Truck,73,234587,True
12158,Suzuki_Vitara_2018,Black,2018,20023376,237367,Automatic,Truck,32,235494,True
14201,Suzuki_Vitara_2018,White,2018,19863956,237367,Automatic,Truck,5,253288,True
14301,Suzuki_Vitara_2018,Red,2018,22485488,237367,Automatic,Truck,19,260598,True
15201,Suzuki_Vitara_2018,Blue,2018,27431517,237367,Automatic,Truck,13,250373,True
16758,Suzuki_Vitara_2018,White,2018,18921773,237367,Automatic,Truck,20,269948,True
18852,Suzuki_Vitara_2018,Black,2018,20625600,237367,Automatic,Truck,6,265265,True
19261,Suzuki_Vitara_2018,Blue,2018,28452286,237367,Automatic,Truck,15,264866,True
1472,Volkswagen_Tiguan_2011,White,2011,15495915,264939,Manual,Sedan,6,300083,True
1586,Volkswagen_Tiguan_2011,White,2011,13670794,264939,Manual,Sedan,3,271083,True
2730,Volkswagen_Tiguan_2011,Black,2011,6948587,264939,Manual,Sedan,18,281875,True
3739,Volkswagen_Tiguan_2011,White,2011,14947407,264939,Manual,Sedan,27,297156,True
4252,Volkswagen_Tiguan_2011,Black,2011,14009373,264939,Manual,Sedan,9,302085,True
4495,Volkswagen_Tiguan_2011,White,2011,15643163,264939,Manual,Sedan,9,288458,True
4783,Volkswagen_Tiguan_2011,Blue,2011,9388435,264939,Manual,Sedan,10,296727,True
7419,Volkswagen_Tiguan_2011,Blue,2011,13626278,264939,Manual,Sedan,4,283322,False
9245,Volkswagen_Tiguan_2011,Blue,2011,7207958,264939,Manual,Sedan,17,291835,True
9720,Volkswagen_Tiguan_2011,White,2011,12339193,264939,Manual,Sedan,13,301799,False
11676,Volkswagen_Tiguan_2011,Red,2011,8846598,264939,Manual,Sedan,7,289547,True
13627,Volkswagen_Tiguan_2011,White,2011,8002906,264939,Manual,Sedan,2,277051,True
13740,Volkswagen_Tiguan_2011,Black,2011,13542652,264939,Manual,Sedan,28,299943,False
13799,Volkswagen_Tiguan_2011,Red,2011,11232953,264939,Manual,Sedan,1,308030,True
17523,Volkswagen_Tiguan_2011,Red,2011,7457574,264939,Manual,Sedan,10,272601,True
19012,Volkswagen_Tiguan_2011,Black,2011,10878673,264939,Manual,Sedan,11,303226,True
264,Ford_F450 Super Duty_2010,Black,2010,20192822,940346,Automatic,Sedan,9,1006509,True
2141,Ford_F450 Super Duty_2010,Black,2010,19577527,940346,Automatic,Sedan,41,1088218,True
3043,Ford_F450 Super Duty_2010,White,2010,18492685,940346,Automatic,Sedan,5,973823,True
4820,Ford_F450 Super Duty_2010,Blue,2010,17080035,940346,Automatic,Sedan,19,1004859,True
4914,Ford_F450 Super Duty_2010,Black,2010,20364866,940346,Automatic,Sedan,34,1076112,False
6155,Ford_F450 Super Duty_2010,Black,2010,18640758,940346,Automatic,Sedan,7,953856,False
8666,Ford_F450 Super Duty_2010,Orange,2010,16226425,940346,Automatic,Sedan,34,1043968,True
9808,Ford_F450 Super Duty_2010,Black,2010,14271212,940346,Automatic,Sedan,34,976143,True
10730,Ford_F450 Super Duty_2010,White,2010,17188646,940346,Automatic,Sedan,8,973033,True
12194,Ford_F450 Super Duty_2010,Black,2010,18428382,940346,Automatic,Sedan,20,1023209,True
12545,Ford_F450 Super Duty_2010,Blue,2010,11603350,940346,Automatic,Sedan,4,1048987,True
12995,Ford_F450 Super Duty_2010,Blue,2010,18760308,940346,Automatic,Sedan,15,1077650,True
16100,Ford_F450 Super Duty_2010,White,2010,17969471,940346,Automatic,Sedan,4,1048439,True
16458,Ford_F450 Super Duty_2010,Black,2010,13003821,940346,Automatic,Sedan,23,982383,False
18542,Ford_F450 Super Duty_2010,Blue,2010,13258320,940346,Automatic,Sedan,33,1015386,True
39,Mazda_CX-5_2021,Red,2021,27797347,760717,Manual,Sedan,28,841670,True
722,Mazda_CX-5_2021,White,2021,25449352,760717,Manual,Sedan,14,819205,True
2776,Mazda_CX-5_2021,Red,2021,27054308,760717,Manual,Sedan,38,892662,True
4715,Mazda_CX-5_2021,White,2021,27870013,760717,Manual,Sedan,61,783539,True
8031,Mazda_CX-5_2021,Blue,2021,28121957,760717,Manual,Sedan,5,816975,False
9819,Mazda_CX-5_2021,White,2021,29400695,760717,Manual,Sedan,2,895399,True
9837,Mazda_CX-5_2021,White,2021,29552722,760717,Manual,Sedan,35,869756,True
9974,Mazda_CX-5_2021,White,2021,32683397,760717,Manual,Sedan,21,878561,True
12530,Mazda_CX-5_2021,White,2021,34807650,760717,Manual,Sedan,72,820444,True
13096,Mazda_CX-5_2021,Blue,2021,29819977,760717,Manual,Sedan,3,847229,True
17889,Mazda_CX-5_2021,Red,2021,34357203,760717,Manual,Sedan,36,863811,True
329,Ford_Figo_2016,Black,2016,32484276,368051,Manual,Sedan,31,380250,True
2359,Ford_Figo_2016,White,2016,32686967,368051,Manual,Sedan,21,411851,True
3384,Ford_Figo_2016,Blue,2016,29047023,368051,Manual,Sedan,36,399317,True
3540,Ford_Figo_2016,Blue,2016,29880574,368051,Manual,Sedan,36,406661,True
3671,Ford_Figo_2016,Blue,2016,35138520,368051,Manual,Sedan,44,418617,True
7600,Ford_Figo_2016,Blue,2016,27288789,368051,Manual,Sedan,24,431717,True
8216,Ford_Figo_2016,Black,2016,28394266,368051,Manual,Sedan,33,390183,True
9495,Ford_Figo_2016,Blue,2016,34649120,368051,Manual,Sedan,2,390288,False
10217,Ford_Figo_2016,Blue,2016,35679202,368051,Manual,Sedan,32,426846,True
10800,Ford_Figo_2016,Blue,2016,27682181,368051,Manual,Sedan,35,429823,True
13487,Ford_Figo_2016,Black,2016,32247938,368051,Manual,Sedan,29,413965,True
13508,Ford_Figo_2016,Blue,2016,35408544,368051,Manual,Sedan,29,385043,False
14974,Ford_Figo_2016,White,2016,34176541,368051,Manual,Sedan,5,411577,True
18367,Ford_Figo_2016,Red,2016,27744306,368051,Manual,Sedan,5,395395,True
1136,Lincoln_MKC_2016,Black,2016,9530029,750479,Automatic,SUV,17,788266,True
1563,Lincoln_MKC_2016,Black,2016,8926061,750479,Automatic,SUV,3,762118,True
1615,Lincoln_MKC_2016,White,2016,9901579,750479,Automatic,SUV,5,864196,True
2055,Lincoln_MKC_2016,Blue,2016,10483714,750479,Automatic,SUV,11,777032,False
5334,Lincoln_MKC_2016,Black,2016,7714670,750479,Automatic,SUV,28,838953,True
9107,Lincoln_MKC_2016,Red,2016,9975931,750479,Automatic,SUV,7,768602,True
9641,Lincoln_MKC_2016,White,2016,7015120,750479,Automatic,SUV,17,864631,False
11452,Lincoln_MKC_2016,Blue,2016,9400719,750479,Automatic,SUV,16,756173,True
12772,Lincoln_MKC_2016,Red,2016,7478053,750479,Automatic,SUV,2,788790,True
13257,Lincoln_MKC_2016,White,2016,12430440,750479,Automatic,SUV,33,876530,True
18834,Lincoln_MKC_2016,Black,2016,7657424,750479,Automatic,SUV,2,778825,True
19203,Lincoln_MKC_2016,Black,2016,3541872,750479,Automatic,SUV,15,855417,True
19451,Lincoln_MKC_2016,White,2016,12272447,750479,Automatic,SUV,14,761946,True
2395,Mazda_CX-9_2012,White,2012,38097713,344893,Automatic,SUV,47,376268,True
2913,Mazda_CX-9_2012,White,2012,32450229,344893,Automatic,SUV,36,389996,True
